Scale	mean_F	mean_P	sd_F	sd_P	n_F	n_P	pooled_sd	cohen_d	eff_FmP	p_mw	fdr	neglog10_fdr
NAGK730102	1.0514695547418509	0.9776001812587037	0.07160051972915382	0.0459693302010037	17	48	0.05365166587256981	1.3768328025190721	0.07386937348314715	1.5432559651975533e-4	0.042208050648153084	1.374604704995551
PALJ810111	1.0572887210976853	0.9894456852126299	0.06357714869778597	0.04507085386215627	17	48	0.05041853545127565	1.345597115779351	0.06784303588505547	1.3681428659698388e-4	0.042208050648153084	1.374604704995551
NAKH900108	0.2424646439619891	0.011502024241377974	0.22388404549222032	0.1520565144965932	17	48	0.1731446171605523	1.333928963592589	0.23096261972061113	2.477377282621404e-4	0.045170845786463604	1.3451417775600336
CHOP780202	1.0541426028131058	0.9825675111537215	0.07135896085196533	0.05781135319642495	17	48	0.06153522554832473	1.1631564038580637	0.07157509165938425	4.912863975834286e-4	0.06718341486953386	1.1727379251549217
CHOP780208	1.0756965529028932	0.9774223026332384	0.11263131485274104	0.07064129086950968	17	48	0.08333447925171343	1.179274787004015	0.09827425026965486	8.961025692565604e-4	0.07386363085077743	1.131569347921156
NAKH900104	0.18339171647932903	-0.04710465945681671	0.22560862237337503	0.1813140602696	17	48	0.19352630209843866	1.1910338462360635	0.23049637593614575	8.961025692565604e-4	0.07386363085077743	1.131569347921156
RADA880102	0.6627386243935662	0.43750210127111233	0.26996983658713075	0.1426669052749495	17	48	0.18356133692767232	1.2270368417026873	0.2252365231224539	9.452384203938613e-4	0.07386363085077743	1.131569347921156
MEEJ800102	2.599873387036072	1.1707955207896557	1.783717410196194	0.817067309885781	17	48	1.1428418856915885	1.2504598266291342	1.4290778662464165	0.0015936413304089955	0.08717218077337206	1.0596220891985155
NAKH900106	0.1585892423566036	-0.0723461060726541	0.25753983240587874	0.2084737779171397	17	48	0.22196489426867938	1.0404138419732265	0.2309353484292577	0.001513955519148861	0.08717218077337206	1.0596220891985155
PALJ810104	1.0459415771477523	0.976488803750278	0.08095109413162853	0.055949304352229924	17	48	0.06324235735997556	1.0982002616086712	0.06945277339747424	0.0013654846531606475	0.08717218077337206	1.0596220891985155
BAEK050101	0.02834739437988506	-0.006730126223092331	0.051401845356186714	0.03464760337639087	17	48	0.03958030755824722	0.88623668604284	0.03507752060297739	0.002384292860068151	0.09135263809199237	1.0392789065243397
BLAS910101	0.5409176323327696	0.47618366760221453	0.09902288655618167	0.05378526266784353	17	48	0.06817958005085555	0.949462649700535	0.06473396473055504	0.002505099764862679	0.09135263809199237	1.0392789065243397
MEEJ800101	2.4708215301473286	0.9721895507680062	2.087833730808459	1.0661221543238668	17	48	1.3982175050115906	1.071816061526779	1.4986319793793226	0.002384292860068151	0.09135263809199237	1.0392789065243397
ROBB760106	0.08319465169235857	-0.7100824242793542	0.9865226436830736	0.6679324187513573	17	48	0.7615764297582139	1.041625035879279	0.7932770759717127	0.002268841288597691	0.09135263809199237	1.0392789065243397
WILM950101	0.9129439692927764	0.5417050425078483	0.5326973936722342	0.23027873565009827	17	48	0.3341084827140998	1.111132898420305	0.3712389267849281	0.001856439405724806	0.09135263809199237	1.0392789065243397
AURR980107	0.9619221510028937	1.0092114769015479	0.11910217798286335	0.07916444049163131	17	48	0.09098357315600762	-0.5197567457322014	-0.0472893258986542	0.0070530301711343715	0.09872047078319776	1.0055927822203004
BASU050101	0.13475562178318304	0.09675712355929318	0.059398802843196714	0.03249694856841662	17	48	0.0410353917671424	0.9259933093733924	0.03799849822388986	0.00842310704645103	0.09872047078319776	1.0055927822203004
BASU050102	0.12056007420785574	0.08771568582134502	0.05233708422003394	0.028718569354037975	17	48	0.03620713530581691	0.9071247451392283	0.032844388386510714	0.01002651048607356	0.09872047078319776	1.0055927822203004
BASU050103	0.16060435603534437	0.12342575794075833	0.05426221739886323	0.027729572850505962	17	48	0.03635143382356427	1.0227546532287146	0.03717859809458604	0.004896786386226188	0.09872047078319776	1.0055927822203004
BROC820102	2.9811576657858625	1.5854794128942233	2.065306763291865	1.0009682693204873	17	48	1.3530619819725591	1.03149617052794	1.3956782528916392	0.006160555541711066	0.09872047078319776	1.0055927822203004
CIDH920101	0.026702225389778258	-0.1311378868868517	0.23516652007437472	0.17358366823971627	17	48	0.1911130015163632	0.8258993947259816	0.15784011227662997	0.008800849408819155	0.09872047078319776	1.0055927822203004
CIDH920102	0.16753547769223942	-0.012936752066370388	0.25697517560880956	0.1435042795340023	17	48	0.17926097546978156	1.0067569323755712	0.1804722297586098	0.006160555541711066	0.09872047078319776	1.0055927822203004
CORJ870102	0.005095482768602225	-0.1612374838858967	0.27380320372920847	0.13344295994106148	17	48	0.17978917182184048	0.925155641849912	0.16633296665449893	0.005371088449841751	0.09872047078319776	1.0055927822203004
CRAJ730102	1.0505824063558253	0.951887270431922	0.14625481147702984	0.06712144356703106	17	48	0.09377413448919451	1.0524771725328572	0.09869513592390333	0.005886491248756846	0.09872047078319776	1.0055927822203004
EISD860101	0.5780808371113496	0.3539786581800453	0.2979417201204765	0.21953242265739897	17	48	0.24186606137083116	0.9265548777747237	0.2241021789313043	0.005623464992121314	0.09872047078319776	1.0055927822203004
FASG890101	-0.6527642310526758	-0.08024283300084155	0.8833532778217926	0.48438244855755924	17	48	0.6109119772557458	-0.9371585749941188	-0.5725213980518342	0.00674340809694997	0.09872047078319776	1.0055927822203004
FAUJ830101	0.4069719186447712	0.23089530281476728	0.2843817375881255	0.1546955810272016	17	48	0.1959393951442197	0.8986279441171291	0.17607661583000395	0.0073753582971358075	0.09872047078319776	1.0055927822203004
FUKS010104	5.411960569797454	5.803961108838528	0.8784872980768551	0.6063745430862137	17	48	0.6857885392044121	-0.5716055556948151	-0.39200053904107346	0.006160555541711066	0.09872047078319776	1.0055927822203004
GOLD730101	1.2402059393782927	1.0031856359199343	0.34050870657677235	0.15989953238002946	17	48	0.22027501963994886	1.0760198947923403	0.23702030345835845	0.005886491248756846	0.09872047078319776	1.0055927822203004
GUYH850103	-0.3227380071247718	-0.14641424809112394	0.23010302991933215	0.11052478835375394	17	48	0.15020080345351294	-1.1739202120061891	-0.17632375903364786	0.005623464992121314	0.09872047078319776	1.0055927822203004
HOPT810101	-0.24363879016229048	0.0830176366610695	0.42265141488776503	0.4051730269890751	17	48	0.4096826305673755	-0.7973401907983472	-0.32665642682336	0.004460696301094508	0.09872047078319776	1.0055927822203004
ISOY800107	0.8916589895932038	1.0263997963995364	0.1161907582728197	0.1786470958662197	17	48	0.16503965687049407	-0.8164147294129626	-0.1347408068063326	0.005128984373608962	0.09872047078319776	1.0055927822203004
KOEP990102	0.3078942366595782	0.40060768759398646	0.34430483990796107	0.15679136373176503	17	48	0.2201067257853789	-0.4212204356935964	-0.09271345093440825	0.00674340809694997	0.09872047078319776	1.0055927822203004
LEVM760101	-0.31793339789080655	-0.010955921546717361	0.43247283771479045	0.38648779574724046	17	48	0.39866934323975456	-0.770005222497073	-0.3069774763440892	0.00805993160839983	0.09872047078319776	1.0055927822203004
MIYS990101	-0.3032711080703777	-0.08025127006093191	0.3642502711935598	0.17194398236175798	17	48	0.23611923996497217	-0.9445220899513753	-0.2230198380094458	0.01002651048607356	0.09872047078319776	1.0055927822203004
MIYS990102	-0.04886252535106899	-0.012588013796748586	0.059077877747756226	0.028035948487971928	17	48	0.038376953936091376	-0.9452160172672344	-0.036274511554320404	0.01002651048607356	0.09872047078319776	1.0055927822203004
MIYS990103	-0.03916588691853617	-2.411195683433491e-4	0.06732204538030252	0.03627677252572349	17	48	0.046182578189166705	-0.8428452649558575	-0.03892476735019282	0.00674340809694997	0.09872047078319776	1.0055927822203004
MIYS990104	-0.04130816355804112	-0.0028209446186310723	0.06864312074649227	0.036779969476219684	17	48	0.04696673217790016	-0.819457031705517	-0.03848721893941005	0.00805993160839983	0.09872047078319776	1.0055927822203004
NADH010105	15.10268147822094	3.5429729466455684	28.049505704846723	14.566236610374261	17	48	18.923669996704017	0.6108597610077092	11.559708531575373	0.010467618474269597	0.09872047078319776	1.0055927822203004
NAKH900107	6.150460645309699	5.467765999424199	1.076230318058911	0.47943147618253246	17	48	0.6823804105565251	1.0004604987542332	0.6826946458854994	0.0070530301711343715	0.09872047078319776	1.0055927822203004
NISK860101	0.166183507897175	-0.4630122710073077	1.0802813455252085	0.5952389735617114	17	48	0.7488050591170551	0.8402664635391107	0.6291957789044826	0.009602034853503702	0.09872047078319776	1.0055927822203004
PRAM820103	0.5741907344039721	0.5909523643112463	0.022430910117458812	0.020503365535341808	17	48	0.021009660505905615	-0.7978058428199124	-0.016761629907274256	0.00805993160839983	0.09872047078319776	1.0055927822203004
PUNT030102	-0.009138155119602729	0.03937753686828751	0.06438150646316522	0.04509712821232212	17	48	0.05069453333328331	-0.9570201912883068	-0.04851569198789024	0.004460696301094508	0.09872047078319776	1.0055927822203004
QIAN880129	-0.018885453382689744	-0.06465119747305821	0.06390527301732861	0.04220906150851152	17	48	0.04864473931358956	0.9408158977960273	0.04576574409036847	0.009602034853503702	0.09872047078319776	1.0055927822203004
RADA880101	-1.1960898838553562	-2.212395063449058	1.5220536816385655	1.2123303430722612	17	48	1.2980104862437256	0.782971470850561	1.0163051795937017	0.01002651048607356	0.09872047078319776	1.0055927822203004
RICJ880105	0.8815442771518114	0.9742626608886282	0.10173826465165921	0.12602043051288797	17	48	0.1203186767569356	-0.7706067439897458	-0.09271838373681685	0.00842310704645103	0.09872047078319776	1.0055927822203004
RICJ880113	0.933566198384734	1.038274239669809	0.2131168874671597	0.12682840850616522	17	48	0.15341182505366957	-0.6825291417297461	-0.10470804128507505	0.002901893288088784	0.09872047078319776	1.0055927822203004
ROBB790101	0.6307744652164629	0.30563703803977865	0.42163645370606945	0.2058642978990795	17	48	0.2770680369004253	1.1734930914948316	0.3251374271766842	0.005371088449841751	0.09872047078319776	1.0055927822203004
ROSM880105	-0.2816301061699687	-0.6396048576800809	0.4496213934941987	0.39790877661821156	17	48	0.4116580084256896	0.869592584580392	0.3579747515101122	0.005371088449841751	0.09872047078319776	1.0055927822203004
SWER830101	0.007251368825859434	-0.15920330469731592	0.275895393668681	0.1330916282739255	17	48	0.1804061213564783	0.92266643876382	0.16645467352317536	0.004896786386226188	0.09872047078319776	1.0055927822203004
VHEG790101	-3.342557258868085	-0.31955847010333965	3.422562694555042	3.7401215340472813	17	48	3.6620813181231497	-0.8254865269660533	-3.0229987887647454	0.010467618474269597	0.09872047078319776	1.0055927822203004
VINM940101	0.9980043293182911	1.007047705349551	0.016984356050908405	0.010477128114338744	17	48	0.01245607752666298	-0.7260211741539054	-0.009043376031259931	0.010467618474269597	0.09872047078319776	1.0055927822203004
YUTK870101	9.693953296252507	8.721486403869122	1.3724934376391484	0.7881800161760728	17	48	0.9704974625472271	1.0020292993152085	0.9724668923833857	0.010467618474269597	0.09872047078319776	1.0055927822203004
YUTK870102	7.9330797994183095	7.286373679887402	0.7524206582040158	0.5782569568704121	17	48	0.6270882780595305	1.0312840187861316	0.6467061195309078	0.005371088449841751	0.09872047078319776	1.0055927822203004
YUTK870103	17.74049283996525	17.09823060175452	0.4493032789266875	1.1936118170553889	17	48	1.0555319576985056	0.6084725654456982	0.6422622382107299	0.00674340809694997	0.09872047078319776	1.0055927822203004
YUTK870104	18.176428368707917	17.48376892096116	0.47753314318633666	1.214068906542764	17	48	1.0758893110563772	0.6438017746143965	0.692659447746756	0.004060096833025118	0.09872047078319776	1.0055927822203004
ZASB820101	-0.13693532785422927	-0.15004261378693592	0.019127871404859807	0.014890533564321112	17	48	0.016072861359482323	0.8154917559202303	0.013107285932706658	0.007710839139353633	0.09872047078319776	1.0055927822203004
ZIMJ680105	10.236555912942002	9.198981758926035	1.473045117240982	0.806378859719749	17	48	1.017929686603884	1.0192984522119823	1.0375741540159673	0.00919365544138175	0.09872047078319776	1.0055927822203004
FUKS010102	5.415575175577022	5.848134239013512	0.7532167337381008	0.585730031449012	17	48	0.6324820299294129	-0.6839072779423713	-0.4325590634364902	0.01092590840466227	0.0996078649558377	1.0017063686840677
MIYS990105	-0.03612657010825035	-0.0023788402853472516	0.059014351784078004	0.03317598762386372	17	48	0.04129903891045151	-0.8171553312918037	-0.0337477298229031	0.01092590840466227	0.0996078649558377	1.0017063686840677
SNEP660101	0.22658671339715744	0.21888479746875736	0.0124528201203613	0.007564217775940899	17	48	0.00905922402823707	0.8501739116279344	0.007701915928400083	0.01140194346625206	0.10224365698426029	0.9903636253468515
BEGF750102	0.7461004799422228	0.7220112715208625	0.040741620860630774	0.026267351786848827	17	48	0.030599004525420782	0.7872546442269938	0.02408920842136031	0.011896300595034486	0.10495607137877198	0.9789924337844638
CHAM830104	0.738789047059225	0.6210308972105152	0.16859317511794855	0.11373275412245118	17	48	0.129879681138406	0.9066710729234165	0.1177581498487098	0.012409570611676711	0.10606304882167439	0.9744358930820739
KANM800102	1.0220217072546574	0.9782487227091564	0.067811199795403	0.04926690193972274	17	48	0.054576790162493165	0.8020439533943692	0.04377298454550094	0.012409570611676711	0.10606304882167439	0.9744358930820739
CASG920101	-0.1249337501405268	-0.2695738658802365	0.2619212230251973	0.16007587268496398	17	48	0.1911529358991856	0.7566722167217623	0.14464011573970972	0.013495282789023885	0.10698434326950819	0.9706797749239717
KARP850102	0.9951836232857866	1.0045116867032586	0.016812187915866653	0.011345032169997207	17	48	0.012953980256370408	-0.7200924528879664	-0.009328063417472054	0.013495282789023885	0.10698434326950819	0.9706797749239717
PARS000101	0.35299921782503774	0.3605336880683718	0.014484197811658215	0.00916393389841547	17	48	0.010767103744039089	-0.6997675904725393	-0.0075344702433340904	0.013495282789023885	0.10698434326950819	0.9706797749239717
QIAN880121	-0.07279639261673565	-0.15575374613098228	0.12975259220518257	0.08243118219601357	17	48	0.09666929827783693	0.8581561570439784	0.08295735351424663	0.013495282789023885	0.10698434326950819	0.9706797749239717
TANGOFREQ	0.4271488237672473	-0.5033099328228685	1.4062494659693512	0.8448720831534661	17	48	1.0172294796781296	0.9146989692871763	0.9304587565901158	0.013495282789023885	0.10698434326950819	0.9706797749239717
Aggrescan	0.004605235929456992	-0.1847296122517483	0.3885509345390111	0.174179291931351	17	48	0.24693213737016387	0.7667485091152096	0.1893348481812053	0.014068977148585153	0.10839057042642364	0.965008498147261
KHAG800101	28.098961468231238	33.7526282533914	7.893956469009561	8.004257575002732	17	48	7.976389094450513	-0.7088002751888871	-5.653666785160162	0.014068977148585153	0.10839057042642364	0.965008498147261
GUYH850101	-0.032945605488631916	0.15324970439914334	0.2907799083427591	0.20711874552845513	17	48	0.23125130612241626	-0.8051643599764581	-0.18619530988777527	0.014664089014012685	0.10988022863924574	0.9590804455687357
NADH010101	-6.733203774429078	-23.077966880440492	35.30136064519513	18.011598707164353	17	48	23.6329768090062	0.6916083080901875	16.344763106011413	0.014664089014012685	0.10988022863924574	0.9590804455687357
BIOV880101	13.22521321567357	-4.899131572708453	31.6589052077906	17.45652640349412	17	48	21.951933503033334	0.8256377410161883	18.12434478838202	0.015281280423492801	0.11145147188867416	0.9529141916170488
RADA880108	0.06372269207131474	-0.09648922013979518	0.269904848034742	0.14775106973030336	17	48	0.18651379056148357	0.8589815891297146	0.16021191221110992	0.015281280423492801	0.11145147188867416	0.9529141916170488
