label	full_effect	full_p	n_ok	n_failed	median_effect	ci025	ci975	pct_dir_match	pct_sig	class
Fig3_GOLD730101	-0.9126105776740723	2.0487745669909407e-8	1000	0	-0.9110281043095116	-0.9164145857820628	-0.9007352346865186	1	1	robust
Fig3_GRAR740102	0.8495764429257002	2.140570828439258e-6	1000	0	0.8453599009704016	0.8341721240943006	0.888991232559689	1	1	robust
Fig3_Aggrescan	-0.8469778973454278	2.4725154016514487e-6	1000	0	-0.8445892309342085	-0.8784616417308937	-0.8337039713032858	1	1	robust
Fig4_arch_meanDG	-0.02931869993016992	0.18067397709086963	1000	0	-0.022502929649517715	-0.5276474517985844	0.38485522609921097	0.549	0.242	borderline
Fig4_arch_fracStab	0.39024076065243496	0.018072246616135875	1000	0	0.3986213234028184	-0.07480809025323551	0.8892335089331946	0.956	0.586	stable
Fig4_arch_meanStabRun	0.671022000577541	0.185566515955803	1000	0	0.687421817568928	0.10276412878582775	1.2105637054736766	0.991	0.221	robust
Fig4_arch_sdDG	-0.0479146235388979	0.11204608875191356	1000	0	-0.045873078231974604	-0.4010065672935141	0.27643614486838036	0.622	0.246	borderline
Fig4_surf_GOLD730101	1.0760198947923403	0.005886491248756846	1000	0	1.056962185833305	0.7141616843100406	1.5263115733092087	1	0.816	robust
Fig4_surf_HOPT810101	-0.7973401907983471	0.004460696301094508	1000	0	-0.7828393844835924	-1.1576620430646591	-0.5113073172101065	1	0.887	robust
Fig5_fracStab_Origin	2.2128189750296885	0.08537558343689013	300	0	2.2607355868271264	1.5092894964528343	4.876270891021919	1	0.23666666666666666	robust
Fig5_sdDG_Origin	7.38042034814638	7.169151593790132e-5	300	0	6.748146102752669	1.8908696247886936	9.726045444627172	1	0.94	robust
Fig5_meanDG_Origin	1.7037620858606928	0.16490289094984079	300	0	2.083155999296149	1.1799666868429264	5.439670998109157	1	0.28	robust
Fig5_meanStabRun_Origin	1.2566978108226647	0.2882859450459318	300	0	1.1457266989170722	0.29444451323625825	3.188675587619139	1	0.06333333333333334	robust
Fig6_binomial_nonstab	0.14029029933801765	0.18273257406792817	1000	0	0.1376722866916994	-0.12074164538862461	0.37873839929856856	0.878	0.118	borderline
SuppFig3_perAA_corr	0.9845162262153437	4.5935602609998256e-15	1000	0	0.983407135927326	0.9784237735688556	1	1	1	robust
